ID;time;ActPass;value;Intensity
vp37;1;Passive;-18,481461222427;Low
vp37;1;Active;-23,3550198667049;Low
vp38;1;Passive;-16,6623299430888;High
vp38;1;Active;-24,1680397676453;High
vp38;1;Passive;-4,52956503929012;Low
vp38;1;Active;-21,3230943382555;Low
vp39;1;Passive;-19,2757754373271;High
vp39;1;Active;-22,5717752410816;High
vp39;1;Passive;-22,7189538193941;Low
vp39;1;Active;-4,47467743097292;Low
vp40;1;Passive;-8,02033968912484;High
vp40;1;Active;1,95627586264256;High
vp40;1;Passive;15,5544021193814;Low
vp40;1;Active;-5,28184153623693;Low
vp41;1;Passive;-18,5574511592749;High
vp41;1;Active;-18,2310065554697;High
vp41;1;Passive;-13,6117102702465;Low
vp41;1;Active;-23,9691076156078;Low
vp42;1;Passive;-16,4313118460178;High
vp42;1;Active;-15,5983588867201;High
vp42;1;Passive;-5,10018438001932;Low
vp42;1;Active;-18,572476757288;Low
vp43;1;Passive;8,02533630834427;High
vp43;1;Active;-5,64335517543159;High
vp43;1;Passive;-0,0168874056965578;Low
vp43;1;Active;-3,05017531126644;Low
vp44;1;Passive;-6,23483875581797;High
vp44;1;Active;-20,8669663291117;High
vp44;1;Passive;-11,6969673314509;Low
vp44;1;Active;0,271445724781137;Low
vp45;1;Passive;-5,72593161428813;High
vp45;1;Active;-3,50033634740487;High
vp45;1;Passive;7,01010938980023;Low
vp45;1;Active;-4,96531231099926;Low
vp46;1;Passive;5,4038055903588;High
vp46;1;Active;0,710525943349116;High
vp46;1;Passive;-4,80104428264336;Low
vp46;1;Active;-22,6276646447256;Low
vp47;1;Passive;-8,78008657515072;High
vp47;1;Active;-16,016685210316;High
vp47;1;Passive;-26,9566551150884;Low
vp47;1;Active;-16,5201767302365;Low
vp48;1;Passive;-20,1967254283428;High
vp48;1;Active;0,282040759649943;High
vp48;1;Passive;-21,5575902884007;Low
vp48;1;Active;-14,4460234798351;Low
vp49;1;Passive;-23,6933508952702;High
vp49;1;Active;-11,4837991346153;High
vp49;1;Passive;-6,92758951342531;Low
vp49;1;Active;-27,3311775872186;Low
vp50;1;Passive;-11,8671419217475;High
vp50;1;Active;-4,94797899224074;High
vp50;1;Passive;-5,28028756359103;Low
vp50;1;Active;-9,95237252671365;Low
vp52;1;Passive;2,79736578403669;High
vp52;1;Active;-7,98876470805565;High
vp52;1;Passive;-2,55736380662792;Low
vp52;1;Active;-1,76478841241496;Low
vp01;2;Passive;-4,51059142711968;High
vp01;2;Active;-22,3788751762963;High
vp01;2;Passive;0,766095625161193;Low
vp01;2;Active;-19,4163326352462;Low
vp02;2;Passive;-15,9521551161667;High
vp02;2;Active;-10,758051867353;High
vp02;2;Passive;4,29032113758288;Low
vp02;2;Active;-17,2356626324183;Low
vp03;2;Passive;6,31110484638903;High
vp03;2;Active;6,68179015129799;High
vp03;2;Passive;11,4476451962184;Low
vp03;2;Active;-7,81438723968901;Low
vp04;2;Passive;-32,9231901529133;High
vp04;2;Active;-42,2424551334381;High
vp04;2;Passive;-51,4550525951385;Low
vp04;2;Active;-46,6009406604767;Low
vp06;2;Passive;-27,4646158828735;High
vp06;2;Active;-43,531057518959;High
vp06;2;Passive;-2,53041419136617;Low
vp06;2;Active;-30,024041121006;Low
vp07;2;Passive;-16,8062437317409;High
vp07;2;Active;-43,3388592386246;High
vp07;2;Passive;-34,0373375339508;Low
vp07;2;Active;-23,6491607778072;Low
vp08;2;Passive;-25,3834282917008;High
vp08;2;Active;-13,497194168767;High
vp08;2;Passive;-26,5422825302333;Low
vp08;2;Active;-5,171811366776;Low
vp09;2;Passive;-7,33611303470581;High
vp09;2;Active;-14,9376361960063;High
vp09;2;Passive;2,57619302338996;Low
vp09;2;Active;-23,8877542572021;Low
vp10;2;Passive;-26,1270709233284;High
vp10;2;Active;-35,7215658910275;High
vp10;2;Passive;-21,3292617678642;Low
vp10;2;Active;-28,1193136581983;Low
vp11;2;Passive;8,8435260205185;High
vp11;2;Active;2,31848672991269;High
vp11;2;Passive;31,1890836650101;Low
vp11;2;Active;-2,59240044065006;Low
vp12;2;Passive;-12,7537334744947;High
vp12;2;Active;-16,1673833293516;High
vp12;2;Passive;-10,5073580749844;Low
vp12;2;Active;-19,6469010708034;Low
vp13;2;Passive;-7,91012255252572;High
vp13;2;Active;-13,184212992074;High
vp13;2;Passive;9,49609188904497;Low
vp13;2;Active;1,36963434434254;Low
vp14;2;Passive;-18,8873434102491;High
vp14;2;Active;-28,5480233960152;High
vp14;2;Passive;-1,39026151648257;Low
vp14;2;Active;-15,4810711149313;Low
vp15;2;Passive;-24,3174611574959;High
vp15;2;Active;-20,7599818327427;High
vp15;2;Passive;3,39152030973695;Low
vp15;2;Active;-19,9883161439896;Low
vp16;2;Passive;-18,6746027616262;High
vp16;2;Active;-22,2696370446086;High
vp16;2;Passive;-8,50637885568105;Low
vp16;2;Active;-22,508161395967;Low
vp17;2;Passive;-7,20463718383014;High
vp17;2;Active;-37,9578724966049;High
vp17;2;Passive;-11,9874034426715;Low
vp17;2;Active;-10,6766302380639;Low
vp18;2;Passive;-8,13111821635725;High
vp18;2;Active;-16,2765455958671;High
vp18;2;Passive;-24,3354713847637;Low
vp18;2;Active;-14,9668111724686;Low
vp19;2;Passive;-22,2242753360271;High
vp19;2;Active;-52,6775670576096;High
vp19;2;Passive;-13,2107444888646;Low
vp19;2;Active;-20,6194456243515;Low
vp20;2;Passive;-17,6414842225611;High
vp20;2;Active;-16,5663519732654;High
vp20;2;Passive;-0,550010437342105;Low
vp20;2;Active;-22,4865352988425;Low
vp21;2;Passive;13,3513973289214;High
vp21;2;Active;4,13142283983249;High
vp21;2;Passive;-16,1844981248304;Low
vp21;2;Active;-21,6356334793454;Low
vp23;2;Passive;-1,97246484456584;High
vp23;2;Active;-16,25941884105;High
vp23;2;Passive;0,462813277102774;Low
vp23;2;Active;-5,13051360340649;Low
vp24;2;Passive;-15,0828000641465;High
vp24;2;Active;-12,2139987710239;High
vp24;2;Passive;-6,08690170274954;Low
vp24;2;Active;-17,3044598884583;Low
vp25;2;Passive;3,9273386346074;High
vp25;2;Active;-12,210114253737;High
vp25;2;Passive;-15,4938014680597;Low
vp25;2;Active;12,4737649293335;Low
vp26;2;Passive;-36,9864113893509;High
vp26;2;Active;-39,1633364095688;High
vp26;2;Passive;-39,593001429081;Low
vp26;2;Active;-39,5042810106277;Low
vp27;2;Passive;9,44294901003991;High
vp27;2;Active;-24,2702469048058;High
vp27;2;Passive;-19,3738161251005;Low
vp27;2;Active;-11,7423892048378;Low
vp28;2;Passive;-31,0125109622478;High
vp28;2;Active;-50,3088773527145;High
vp28;2;Passive;-16,322472079913;Low
vp28;2;Active;-33,8599318084717;Low
vp29;2;Passive;0,0189012325736694;High
vp29;2;Active;7,84257499692077;High
vp29;2;Passive;6,8449948125988;Low
vp29;2;Active;-16,0899094787594;Low
vp31;2;Passive;6,69149360852665;High
vp31;2;Active;-13,3387367149591;High
vp31;2;Passive;1,91844864505413;Low
vp31;2;Active;-11,8881080292268;Low
vp32;2;Passive;-17,8536681026919;High
vp32;2;Active;-13,4207916646721;High
vp32;2;Passive;-8,29838768042996;Low
vp32;2;Active;-14,0799288933277;Low
vp33;2;Passive;-15,8918832774744;High
vp33;2;Active;-21,0373382812459;High
vp33;2;Passive;13,2808381752791;Low
vp33;2;Active;1,76463455178756;Low
vp34;2;Passive;7,50054522394016;High
vp34;2;Active;-27,1509092597961;High
vp34;2;Passive;12,0197227938017;Low
vp34;2;Active;-18,2101208901405;Low
vp35;2;Passive;25,2632988806916;High
vp35;2;Active;21,0081327623189;High
vp35;2;Passive;16,0728229517819;Low
vp35;2;Active;3,24438321310235;Low
vp36;2;Passive;2,19233283910726;High
vp36;2;Active;-11,300079786143;High
vp36;2;Passive;-3,00837015056983;Low
vp36;2;Active;-10,1826741835559;Low
vp37;2;Passive;-24,7562134830952;High
vp37;2;Active;-25,4604744185209;High
vp37;2;Passive;-15,6600139283589;Low
vp37;2;Active;-12,954209672451;Low
vp38;2;Passive;-4,14373973356932;High
vp38;2;Active;-18,7401407225685;High
vp38;2;Passive;-6,46587873169035;Low
vp38;2;Active;-17,4783355416143;Low
vp39;2;Passive;-46,8331520500183;High
vp39;2;Active;-53,48079114151;High
vp39;2;Passive;-47,6883907470703;Low
vp39;2;Active;-34,2530674371719;Low
vp40;2;Passive;-24,771334956646;High
vp40;2;Active;-4,11316794389323;High
vp40;2;Passive;-9,02380270040489;Low
vp40;2;Active;-28,4974090292552;Low
vp41;2;Passive;-52,015215719223;High
vp41;2;Active;-27,78625071311;High
vp41;2;Passive;-25,4540364203453;Low
vp41;2;Active;-40,4854789028168;Low
vp42;2;Passive;-17,2940028185844;High
vp42;2;Active;-12,6168083669543;High
vp42;2;Passive;-9,27228874325147;Low
vp42;2;Active;-20,1959293904305;Low
vp43;2;Passive;-5,00631631316058;High
vp43;2;Active;-12,1296461962117;High
vp43;2;Passive;-17,0413451484404;Low
vp43;2;Active;-9,16711875329027;Low
vp44;2;Passive;-11,9408811692008;High
vp44;2;Active;-18,5944046971798;High
vp44;2;Passive;-11,2242371535138;Low
vp44;2;Active;-0,822318378743483;Low
vp45;2;Passive;-21,4307602949142;High
vp45;2;Active;-16,8295905716419;High
vp45;2;Passive;-2,3471982549231;Low
vp45;2;Active;-9,39275327046122;Low
vp46;2;Passive;6,8054229894476;High
vp46;2;Active;11,5835098111145;High
vp46;2;Passive;15,4823700567666;Low
vp46;2;Active;-20,2624179053926;Low
vp47;2;Passive;-6,97502425853303;High
vp47;2;Active;-14,2756252621748;High
vp47;2;Passive;-32,5051342383623;Low
vp47;2;Active;-13,3019381159283;Low
vp48;2;Passive;-20,0359052073737;High
vp48;2;Active;-9,0649096961054;High
vp48;2;Passive;-24,3489564757347;Low
vp48;2;Active;-11,6068592069785;Low
vp49;2;Passive;-21,738820130581;High
vp49;2;Active;-9,59318823949434;High
vp49;2;Passive;4,36696257824847;Low
vp49;2;Active;-21,1955663294941;Low
vp50;2;Passive;-22,9531490607262;High
vp50;2;Active;-27,4286262859162;High
vp50;2;Passive;-11,7638414273821;Low
vp50;2;Active;-21,6736337089539;Low
vp52;2;Passive;0,414769472458865;High
vp52;2;Active;-11,4760624743141;High
vp52;2;Passive;-11,4519818281969;Low
vp52;2;Active;-8,6877495891666;Low
vp01;3;Passive;2,10531777551491;High
vp01;3;Active;-3,94455888678436;High
vp01;3;Passive;8,61491415691376;Low
vp01;3;Active;-14,8539493513182;Low
vp02;3;Passive;-4,95826560279517;High
vp02;3;Active;6,0469147813837;High
vp02;3;Passive;11,8844766995297;Low
vp02;3;Active;4,65230554153793;Low
vp03;3;Passive;9,04651547086891;High
vp03;3;Active;4,69874909518403;High
vp03;3;Passive;16,2305896751415;Low
vp03;3;Active;7,17794468887616;Low
vp04;3;Passive;-13,302513174803;High
vp04;3;Active;-26,1254282550812;High
vp04;3;Passive;-35,0980546770096;Low
vp04;3;Active;-35,4115046548843;Low
vp06;3;Passive;-30,7713325920105;High
vp06;3;Active;-41,6044565525055;High
vp06;3;Passive;12,9991327712964;Low
vp06;3;Active;-14,6971062116241;Low
vp07;3;Passive;-2,73467033666349;High
vp07;3;Active;-32,0287951068878;High
vp07;3;Passive;-24,0743203527927;Low
vp07;3;Active;-8,81628005689569;Low
vp08;3;Passive;27,8921330660395;High
vp08;3;Active;38,7866733579636;High
vp08;3;Passive;9,16167508980632;Low
vp08;3;Active;34,8011291522384;Low
vp09;3;Passive;-0,381443139702053;High
vp09;3;Active;8,07892770221643;High
vp09;3;Passive;1,27674013729487;Low
vp09;3;Active;-7,5946283625348;Low
vp10;3;Passive;-7,81090920982137;High
vp10;3;Active;-23,6674518518448;High
vp10;3;Passive;-4,92978427038202;Low
vp10;3;Active;-6,9268275845102;Low
vp11;3;Passive;21,9141627987782;High
vp11;3;Active;0,241929633284919;High
vp11;3;Passive;21,4415274016624;Low
vp11;3;Active;-6,61275751781114;Low
vp12;3;Passive;-9,07956797733228;High
vp12;3;Active;-0,486929283234058;High
vp12;3;Passive;3,72578832317982;Low
vp12;3;Active;-8,21539638325828;Low
vp13;3;Passive;15,2969993904829;High
vp13;3;Active;6,48261205868912;High
vp13;3;Passive;18,0042290353775;Low
vp13;3;Active;9,01753903633286;Low
vp14;3;Passive;-3,11111300190818;High
vp14;3;Active;-27,5780460176468;High
vp14;3;Passive;15,3930057249069;Low
vp14;3;Active;-12,0815459381174;Low
vp15;3;Passive;-7,4766861446813;High
vp15;3;Active;-7,77826841163635;High
vp15;3;Passive;26,9857692672014;Low
vp15;3;Active;-21,3144143056998;Low
vp16;3;Passive;-14,4582163875103;High
vp16;3;Active;-24,9611256217957;High
vp16;3;Passive;-3,11559046665975;Low
vp16;3;Active;-22,5305143728256;Low
vp17;3;Passive;7,87373907820508;High
vp17;3;Active;-10,996370059697;High
vp17;3;Passive;-6,40380769608915;Low
vp17;3;Active;40,7526101055145;Low
vp18;3;Passive;44,4371058901306;High
vp18;3;Active;-2,8571678136792;High
vp18;3;Passive;-18,5690105964979;Low
vp18;3;Active;14,1983097940609;Low
vp19;3;Passive;-26,9464056272507;High
vp19;3;Active;-42,7179597454071;High
vp19;3;Passive;-8,76578361149272;Low
vp19;3;Active;-10,6491202779142;Low
vp20;3;Passive;-5,04039932799991;High
vp20;3;Active;-8,46477814968148;High
vp20;3;Passive;15,3580033720112;Low
vp20;3;Active;-0,704949429134082;Low
vp21;3;Passive;32,4918022265434;High
vp21;3;Active;14,9605595675404;High
vp21;3;Passive;-15,6581995938756;Low
vp21;3;Active;-6,5574739030347;Low
vp23;3;Passive;89,5861084878445;High
vp23;3;Active;27,7749897780614;High
vp23;3;Passive;14,6012914739735;Low
vp23;3;Active;37,936634315555;Low
vp24;3;Passive;-4,94675457150873;High
vp24;3;Active;8,60453006071085;High
vp24;3;Passive;7,68096887352783;Low
vp24;3;Active;-9,16996047165024;Low
vp25;3;Passive;1,8983550352779;High
vp25;3;Active;-1,83426902571297;High
vp25;3;Passive;-1,75865660352266;Low
vp25;3;Active;7,28989653804991;Low
vp26;3;Passive;-15,8005341680683;High
vp26;3;Active;-8,82575452936441;High
vp26;3;Passive;-18,7258147158623;Low
vp26;3;Active;-3,72563072198641;Low
vp27;3;Passive;9,59784831483767;High
vp27;3;Active;-29,0439539370537;High
vp27;3;Passive;-18,9971712086778;Low
vp27;3;Active;-5,90212760220841;Low
vp28;3;Passive;-13,9191521191727;High
vp28;3;Active;-52,565412607193;High
vp28;3;Passive;-7,16564588193595;Low
vp28;3;Active;-35,3403984222412;Low
vp29;3;Passive;9,08696407794557;High
vp29;3;Active;3,18027932424704;High
vp29;3;Passive;12,7769184104381;Low
vp29;3;Active;-14,7566699767757;Low
vp31;3;Passive;0,935842803842388;High
