"ID";"HI_threat_1";"HI_threat_2";"HI_threat_3";"HI_threat_4";"HI_threat_5";"HI_threat_6";"HI_threat_7";"HI_threat_8";"HI_threat_9";"HI_threat_10";"HI_flight_1";"HI_flight_2";"HI_flight_3";"HI_flight_4";"HI_flight_5";"HI_flight_6";"HI_flight_7";"HI_flight_8";"HI_flight_9";"HI_flight_10";"LI_threat_1";"LI_threat_2";"LI_threat_3";"LI_threat_4";"LI_threat_5";"LI_threat_6";"LI_threat_7";"LI_threat_8";"LI_threat_9";"LI_threat_10";"LI_flight_1";"LI_flight_2";"LI_flight_3";"LI_flight_4";"LI_flight_5";"LI_flight_6";"LI_flight_7";"LI_flight_8";"LI_flight_9";"LI_flight_10"
"vp12";-0,00569027976190477;-0,0116741761904762;-0,0189913654761907;-0,027580780952381;-0,0368120690476191;-0,0463987273809524;-0,0546919892857143;-0,0629034761904763;-0,0714527880952382;-0,0790292904761905;-0,0103534809523809;-0,0255914928571428;-0,039957838095238;-0,053494119047619;-0,0661994428571429;-0,0781604261904762;-0,0886102309523809;-0,0986836059523809;-0,110267544047619;-0,121106498809524;-0,00561459556277052;-0,013067736038961;-0,0190874848484849;-0,0251187015151515;-0,0309437217532468;-0,0361980777056277;-0,0414384777056277;-0,0467264086580087;-0,0517113741341992;-0,0563710277056277;-0,00768492662337659;-0,0174024587662337;-0,0256344694805194;-0,0327566766233765;-0,0388152801948052;-0,0437108349567099;-0,0494220063852815;-0,0556870659090909;-0,0619341932900432;-0,0678603409090909
"vp13";-0,115844327922078;-0,22494083982684;-0,246166042207792;-0,329118316017316;-0,403133054112554;-0,412056554112554;-0,378297196969697;-0,33346008982684;-0,322825530303031;-0,386387244588745;-0,107300155844156;-0,252238465367965;-0,378637012987013;-0,45681667965368;-0,496489691558441;-0,559686274891775;-0,628867798701299;-0,685569632034632;-0,742809548701299;-0,791354298701298;-0,0736063831168831;-0,183337097402598;-0,283480561688312;-0,295737930735931;-0,268939180735931;-0,270456335497835;-0,251884609307359;-0,257448002164502;-0,297838025974026;-0,368865716450216;-0,158031899350649;-0,330324423160173;-0,454902566017316;-0,51748303030303;-0,561237363636364;-0,587101899350649;-0,635922923160173;-0,717811506493506;-0,784443435064935;-0,832734899350649
"vp14";-0,0592880995670994;-0,120009730519481;-0,163411876948052;-0,200400066233766;-0,237977767424242;-0,269380194805195;-0,299317111471862;-0,330030235281385;-0,357987272186147;-0,380611800757576;-0,059396214285714;-0,120100254761905;-0,163191888095238;-0,163872798809524;-0,152710877380952;-0,146942078571428;-0,136131260714286;-0,144023180952381;-0,149789698809524;-0,142309047619048;-0,0378710812770564;-0,0741002431818183;-0,0966288705627707;-0,126352970562771;-0,16089793008658;-0,190374132467532;-0,219526741991342;-0,24365050508658;-0,264277290800866;-0,283946221753247;-0,0755995721861471;-0,154030143614719;-0,209084928138528;-0,234911970995671;-0,247947580519481;-0,259213136471862;-0,266464944805195;-0,274735460281385;-0,280622711471861;-0,283750459090909
"vp15";-0,00971052575757569;-0,0206001971861472;-0,0302923602813852;-0,0363336090909089;-0,0371823150432899;-0,0386572055194804;-0,0341445852813852;-0,0261813567099566;-0,0284913590909091;-0,0366840364718612;-0,00919591677489164;-0,0201255703463203;-0,028502462012987;-0,0346891358225108;-0,0413025715367964;-0,0489428846320345;-0,0561618358225107;-0,0632543703463204;-0,0699338120129869;-0,0710140143939393;-0,0096493873376623;-0,0177521635281385;-0,021658071861472;-0,031446292099567;-0,0420865742424243;-0,051610865909091;-0,0605901837662338;-0,0691610563852814;-0,0773669111471861;-0,0853864075757577;-0,0112837966450216;-0,0230096156926407;-0,0340504442640692;-0,0415119252164502;-0,0405712502164502;-0,0409103085497834;-0,0492833752164502;-0,0585861323593073;-0,0685927264069263;-0,0777564037878788
"vp16";-0,030492748917749;-0,0830457012987014;-0,126994725108225;-0,15818457034632;-0,195437951298701;-0,192907915584415;-0,184249296536797;-0,213612653679654;-0,26717912987013;-0,319185213203463;-0,0406514816017314;-0,101785183982684;-0,139507053030303;-0,148121017316017;-0,164595303030303;-0,185589791125541;-0,20288366017316;-0,209073553030303;-0,201064279220779;-0,173829838744589;-0,0554735487012987;-0,117355072510822;-0,148875322510823;-0,170329608225109;-0,194997048701299;-0,202027560606061;-0,206520584415584;-0,204476012987013;-0,231349489177489;-0,261843762987013;-0,0678515054112551;-0,14516866017316;-0,197473207792208;-0,223726588744588;-0,237072053030303;-0,234103314935065;-0,231932350649351;-0,244108291125541;-0,282043612554112;-0,307165803030303
"vp17";-0,0218068514069264;-0,0489228835497836;-0,069999641883117;-0,0852114264069264;-0,0893950335497836;-0,0855849716450217;-0,090839754978355;-0,0955759668831169;-0,102219313311688;-0,116143891883117;-0,0125225203463203;-0,0236790905844156;-0,0210537132034632;-0,0114369762987013;-0,00825591796536796;-0,0148838596320347;-0,0269001179653679;-0,043842937012987;-0,0584799382034632;-0,0646765751082251;-0,0177660757575758;-0,0408812555194805;-0,0595029495670995;-0,0734732662337662;-0,0794514781385281;-0,0758259186147186;-0,070215520995671;-0,0599012924242424;-0,0477276579004329;-0,052870876948052;-0,0181337884199134;-0,0441786253246754;-0,0680062598484849;-0,0885328586580087;-0,104227288419913;-0,113143103896104;-0,11727183961039;-0,125029459848485;-0,136758507467532;-0,148030578896104
"vp18";-0,0562111277056276;-0,139209056277056;-0,206720568181818;-0,276202782467532;-0,325775651515152;-0,295809961038961;-0,236767020562771;-0,218558425324675;-0,238887127705627;-0,269907877705628;-0,034994611471861;-0,10102748051948;-0,188183206709957;-0,236627063852814;-0,248107420995671;-0,290788659090909;-0,339928873376623;-0,371103587662338;-0,391562801948052;-0,386624563852814;-0,0552969653679654;-0,134857834415584;-0,216578298701299;-0,29221412012987;-0,334452703463203;-0,337749358225108;-0,322226453463204;-0,337121108225108;-0,381830489177489;-0,441546608225108;-0,0362367196969695;-0,107965505411255;-0,181234219696969;-0,210731517316017;-0,234208505411255;-0,247607148268398;-0,264220029220779;-0,291745053030303;-0,301986648268398;-0,309694493506493
"vp19";-0,0954066385281384;-0,176538376623376;-0,179747793290043;-0,197050817099567;-0,200190221861472;-0,168506198051948;-0,135628543290043;-0,171707317099567;-0,222726067099567;-0,223290519480519;-0,105606608225108;-0,197383001082251;-0,163682382034632;0,00188145129870119;0,169279117965368;0,371631237012987;0,418002844155844;0,361952951298701;0,29160968939394;0,17186612987013;-0,175374346320346;-0,329544667748918;-0,363297560606061;-0,358911751082251;-0,397586215367965;-0,379870882034632;-0,372722191558442;-0,411301643939394;-0,511883941558442;-0,62756717965368;-0,0476826948051947;-0,126359016233766;-0,170719575757576;-0,179277194805195;-0,225341373376624;-0,2498505995671;-0,26073254004329;-0,27583604004329;-0,321690397186147;-0,386159456709957
"vp20";-0,0021617053030303;-0,00994741363636368;-0,014665141017316;-0,0212963505411256;-0,0213598648268399;-0,020618021969697;-0,0204955231601732;-0,0254703838744589;-0,0355779017316017;-0,0355212124458874;-0,000683077056277043;-0,000271848484848464;-0,00862748419913418;-0,0192613877705628;-0,0230109663419913;-0,0315323472943723;-0,0338933699134199;-0,0339464853896104;-0,0452524353896103;-0,044983027056277;0,00539781893939392;0,00130800822510822;-0,00880412153679657;-0,0175918834415585;-0,0210546060606061;-0,0176929536796537;-0,0179504322510823;-0,0169832501082251;-0,0254744001082251;-0,027927256060606;-0,00236583603896104;0,000647618722943732;0,00555298658008659;-0,00721737651515154;-0,0124672991341991;-0,0191719277056277;-0,0210819253246753;-0,0144461634199134;-0,0203176265151515;-0,0291661574675324
"vp21";-0,000654177813852796;-0,00121245995670996;-0,00203034686147186;-0,00277179686147184;-0,00322655995670996;-0,00401025519480519;-0,00455350281385279;-0,00489679090909091;-0,00530099686147185;-0,00583691471861472;-0,000341662554112546;-0,000857863744588735;-0,0014113316017316;-0,0016219935064935;-0,00185212683982685;-0,0022028696969697;-0,00250623755411258;-0,00288874231601731;-0,0033654446969697;-0,00376938993506495;-0,000744525865800871;-0,00145813896103897;-0,00218769372294374;-0,00228475800865801;-0,00279914491341992;-0,00302803181818182;-0,00347464729437231;-0,00397763538961039;-0,00447812943722943;-0,00514630086580087;-0,000565702380952407;-0,00148073214285718;-0,00260421666666671;-0,00349423928571432;-0,00418975357142859;-0,00495599880952384;-0,00587521071428574;-0,00678868928571432;-0,00738894642857145;-0,00806532976190479
"vp22";-0,0984405573593077;-0,208659224025974;-0,284825343073593;-0,317017807359307;-0,335450712121212;-0,32906425974026;-0,398451712121212;-0,502510093073593;-0,574105438311688;-0,598858938311688;-0,103712765151515;-0,176557348484848;-0,248684134199134;-0,295871705627706;-0,322677848484848;-0,318784015151515;-0,362695753246753;-0,434744562770563;-0,487079848484848;-0,512640122294372;-0,11191566991342;-0,197715777056277;-0,251541205627706;-0,239927753246753;-0,220891241341992;-0,226635705627706;-0,210752681818182;-0,231959669913421;-0,295234467532468;-0,378889098484848;-0,124765764069264;-0,249349502164502;-0,316677014069264;-0,367488347402597;-0,408988252164502;-0,42923718073593;-0,468513383116883;-0,505524645021645;-0,540141942640692;-0,597866942640693
"vp23";-0,0932179632034633;-0,28273218939394;-0,467868117965368;-0,583557927489178;-0,665589737012987;-0,690800010822511;-0,709218558441559;-0,736040177489177;-0,746679463203463;-0,736211677489178;-0,117347786796537;-0,286213905844156;-0,425202417748918;-0,435944036796537;-0,425083905844156;-0,46071262012987;-0,534083786796537;-0,630763203463204;-0,702903667748918;-0,748924489177489;-0,103435522727273;-0,301884903679654;-0,501822808441559;-0,616169510822511;-0,705549332251082;-0,796184106060606;-0,87761862987013;-0,942489260822511;-0,992960713203463;-1,01174267748918;-0,101216397186147;-0,274603873376624;-0,429203873376623;-0,502498111471861;-0,553175385281385;-0,604582409090909;-0,6581955995671;-0,714818885281385;-0,7720043495671;-0,820691611471861
